url,title,title_length,meta_description,meta_description_length,meta_keywords,h1_tags,h1_count,h2_count,word_count,image_count,images_with_alt,images_without_alt,internal_links,external_links,has_structured_data,canonical_url,has_viewport_meta
https://simplybeyond.dk/,"Silkeprodukter til hår & hud| Luksus, glathed og bedre søvn | Simply Beyond",75,"Forkæl hår og hud med 100% Mulberry silke. Få mindre krus, færre soverynker og dybere søvn. Vælg silke pudebetræk, sovemasker og gavepakker i luksuskvalitet.",157,,"['Mulberry Silke', '']",2,5,741,201,199,2,293,6,True,https://simplybeyond.dk/,True
https://simplybeyond.dk/pages/kontakt-os,Kontakt os og Få Hurtigt Svar | Simply Beyond,45,Du kan nemt kontakte os! Vi er klar til at besvare dine henvendelser hurtigt.,77,,"['Kontakt', '']",2,8,438,18,18,0,163,6,True,https://simplybeyond.dk/pages/kontakt-os,True
https://simplybeyond.dk/pages/ofte-stillede-spoergsmaal,Ofte stillede spørgsmål | Simply Beyond,39,,0,,"['Ofte stillede spørgsmål', '']",2,5,618,17,17,0,160,7,True,https://simplybeyond.dk/pages/ofte-stillede-spoergsmaal,True
https://simplybeyond.dk/pages/returnering-ombytning,Fragt & returnering: Hurtig levering fra Simply Beyond | Simply Beyond,70,Lær om vores nemme fragt & returnering. Få dine varer hurtigt med Simply Beyond og oplev vores gratis levering.,111,,"['Fragt & returnering', '']",2,4,248,16,16,0,161,7,True,https://simplybeyond.dk/pages/returnering-ombytning,True
https://simplybeyond.dk/pages/silke-univers,Silke Blog Univers: Udforsk Skønhedstips | Simply Beyond,56,"Silke Blog Univers tilbyder inspiration om silke, skønhedstips og søvnoptimering til en bedre hverdag.",102,,"['Silke Univers', '']",2,2,77,17,17,0,165,6,True,https://simplybeyond.dk/pages/silke-univers,True
https://simplybeyond.dk/collections/silke-pudebetraek,Silke Pudebetræk | 100% Mulberry Silke | Simply Beyond,54,"Forkæl dig selv med vores Silke Pudebetræk, der giver naturlig luksus og plejer både hår og hud mens du sover. Oplev velvære!",125,,"['Silke pudebetræk – den ultimative luksus til din søvn, hud og hår', '']",2,16,2081,42,42,0,193,6,True,https://simplybeyond.dk/collections/silke-pudebetraek,True
https://simplybeyond.dk/collections/silke-sovemaske,Silke Sovemaske | Eksklusiv komfort & ro | Simply Beyond,56,"Forkæl dig selv med en silke sovemaske i 100% Mulberry silke. Luksus, komfort og ro – hver nat med Simply Beyond",112,,"['Silke Sovemaske - skønhed, ro og luksus i ét', '']",2,14,1951,52,52,0,193,6,True,https://simplybeyond.dk/collections/silke-sovemaske,True
https://simplybeyond.dk/collections/silke-scrunchie,Silke Scrunchie | Elegant Accessory til Hår | Simply Beyond,59,"Opdag den luksuriøse Silke Scrunchie – blød, glat og skånsom, der beskytter dit hår og bevarer frisuren uden mærker. Prøv nu!",125,,"['Silke scrunchie – skånsom luksus, smuk styling', '']",2,21,1355,42,42,0,186,6,True,https://simplybeyond.dk/collections/silke-scrunchie,True
https://simplybeyond.dk/collections/silke-gavepakke,Silke gavepakke | Luksus gavesæt i Mulberry silke | Simply Beyond,65,"Forkæl dig selv eller en du holder af med en silke gavepakke i 6A Mulberry silke. Eksklusivt pudebetræk, sovemaske og scrunchie samlet i én smuk gaveæske",153,,"['Silke Gavepakke – den ultimative luksusgave til hende', '']",2,11,1155,36,36,0,198,6,True,https://simplybeyond.dk/collections/silke-gavepakke,True
https://simplybeyond.dk/collections/natbriller,"Natbriller i Silke | Luksus, Komfort og Bedre Søvn | Simply Beyond",66,"Opdag Simply Beyonds eksklusive natbriller i 100 % Mulberry silke. Skabt til ro, komfort og skønhedssøvn – naturligt, hypoallergent og elegant",142,,"['Natbriller', '']",2,15,2175,52,52,0,198,6,True,https://simplybeyond.dk/collections/natbriller,True
